Unnamed: 0	wordpos_mod	word_mod	sentid	punctuation	model	prob	surp	wordpos	pairid	condition	comparison	sentence	ROI	freqs	adjusted_probs
0	0	The	1	False	distilbert/distilgpt2	1.0	0.0	0	1	hard_meaning1_syn1	expected	The rock was too hard to break with a hammer.	4	6500900	[0.43466915]
1	1	 rock	1	False	distilbert/distilgpt2	1.2827924820157932e-06	19.572280883789062	1	1	hard_meaning1_syn1	expected	The rock was too hard to break with a hammer.	4	15608	[-0.12618364]
2	2	 was	1	False	distilbert/distilgpt2	0.0031789445783942	8.297236442565918	2	1	hard_meaning1_syn1	expected	The rock was too hard to break with a hammer.	4	680189	[-0.16800751]
3	3	 too	1	False	distilbert/distilgpt2	0.0021545076742768	8.858426094055176	3	1	hard_meaning1_syn1	expected	The rock was too hard to break with a hammer.	4	82076	[-0.12853124]
4	4	 hard	1	False	distilbert/distilgpt2	0.0164793413132429	5.923197269439697	4	1	hard_meaning1_syn1	expected	The rock was too hard to break with a hammer.	4	37982	[-0.11122062]
5	5	 to	1	False	distilbert/distilgpt2	0.4393525421619415	1.186548948287964	5	1	hard_meaning1_syn1	expected	The rock was too hard to break with a hammer.	4	3042375	[0.10821271]
6	6	 break	1	False	distilbert/distilgpt2	0.0229857806116342	5.443114280700684	6	1	hard_meaning1_syn1	expected	The rock was too hard to break with a hammer.	4	13589	[-0.10306243]
7	7	 with	1	False	distilbert/distilgpt2	0.0134947663173079	6.211456298828125	7	1	hard_meaning1_syn1	expected	The rock was too hard to break with a hammer.	4	881608	[-0.1713306]
8	8	 a	1	False	distilbert/distilgpt2	0.0160341914743185	5.962704658508301	8	1	hard_meaning1_syn1	expected	The rock was too hard to break with a hammer.	4	2959949	[-0.30952423]
9	9	 hammer.	1	False	distilbert/distilgpt2	0.1120402715168893	4.9939281940460205	9	1	hard_meaning1_syn1	expected	The rock was too hard to break with a hammer.	4	1700	[-0.01320289]
10	0	The	2	False	distilbert/distilgpt2	1.0	0.0	0	1	hard_meaning1_syn1	unexpected	The rock was too solid to break with a hammer.	4	6500900	[0.43466915]
11	1	 rock	2	False	distilbert/distilgpt2	1.2827924820157932e-06	19.572280883789062	1	1	hard_meaning1_syn1	unexpected	The rock was too solid to break with a hammer.	4	15608	[-0.12618364]
12	2	 was	2	False	distilbert/distilgpt2	0.0031789445783942	8.297236442565918	2	1	hard_meaning1_syn1	unexpected	The rock was too solid to break with a hammer.	4	680189	[-0.16800751]
13	3	 too	2	False	distilbert/distilgpt2	0.0021545076742768	8.858426094055176	3	1	hard_meaning1_syn1	unexpected	The rock was too solid to break with a hammer.	4	82076	[-0.12853124]
14	4	 solid	2	False	distilbert/distilgpt2	0.0013203031849116	9.56491470336914	4	1	hard_meaning1_syn1	unexpected	The rock was too solid to break with a hammer.	4	7280	[-0.1243007]
15	5	 to	2	False	distilbert/distilgpt2	0.3777420222759247	1.404526710510254	5	1	hard_meaning1_syn1	unexpected	The rock was too solid to break with a hammer.	4	3042375	[0.04660219]
16	6	 break	2	False	distilbert/distilgpt2	0.0108708906918764	6.523386001586914	6	1	hard_meaning1_syn1	unexpected	The rock was too solid to break with a hammer.	4	13589	[-0.11517732]
17	7	 with	2	False	distilbert/distilgpt2	0.0062300008721649	7.326551914215088	7	1	hard_meaning1_syn1	unexpected	The rock was too solid to break with a hammer.	4	881608	[-0.17859536]
18	8	 a	2	False	distilbert/distilgpt2	0.0365154668688774	4.77534818649292	8	1	hard_meaning1_syn1	unexpected	The rock was too solid to break with a hammer.	4	2959949	[-0.28904296]
19	9	 hammer.	2	False	distilbert/distilgpt2	0.1372678296174854	4.976167857646942	9	1	hard_meaning1_syn1	unexpected	The rock was too solid to break with a hammer.	4	1700	[0.01202467]
20	0	The	3	False	distilbert/distilgpt2	1.0	0.0	0	2	hard_meaning1_syn1	expected	The ground was hard after the long drought.	3	6500900	[0.43466915]
21	1	 ground	3	False	distilbert/distilgpt2	6.13913641700492e-07	20.635459899902344	1	2	hard_meaning1_syn1	expected	The ground was hard after the long drought.	3	25140	[-0.12682976]
22	2	 was	3	False	distilbert/distilgpt2	0.0116096027195453	6.428537368774414	2	2	hard_meaning1_syn1	expected	The ground was hard after the long drought.	3	680189	[-0.15957685]
