	wordpos_mod	word_mod	sentid	punctuation	model	prob	surp	wordpos	pairid	condition	comparison	sentence	ROI
0	0	The	1	False	erwanf/gpt2-mini	1.0	0.0	0	1	hard_meaning1_syn1	expected	The rock was too hard to break with a hammer.	4
1	1	 rock	1	False	erwanf/gpt2-mini	0.0001840272307163	12.407793045043944	1	1	hard_meaning1_syn1	expected	The rock was too hard to break with a hammer.	4
2	2	 was	1	False	erwanf/gpt2-mini	0.0250010024756193	5.321869850158691	2	1	hard_meaning1_syn1	expected	The rock was too hard to break with a hammer.	4
3	3	 too	1	False	erwanf/gpt2-mini	0.0024567148648202	8.66905403137207	3	1	hard_meaning1_syn1	expected	The rock was too hard to break with a hammer.	4
4	4	 hard	1	False	erwanf/gpt2-mini	0.0243917014449834	5.357465744018555	4	1	hard_meaning1_syn1	expected	The rock was too hard to break with a hammer.	4
5	5	 to	1	False	erwanf/gpt2-mini	0.423286110162735	1.2402948141098022	5	1	hard_meaning1_syn1	expected	The rock was too hard to break with a hammer.	4
6	6	 break	1	False	erwanf/gpt2-mini	0.0097861438989639	6.67504358291626	6	1	hard_meaning1_syn1	expected	The rock was too hard to break with a hammer.	4
7	7	 with	1	False	erwanf/gpt2-mini	0.0052905767224729	7.56235933303833	7	1	hard_meaning1_syn1	expected	The rock was too hard to break with a hammer.	4
8	8	 a	1	False	erwanf/gpt2-mini	0.0192209128290414	5.701179027557373	8	1	hard_meaning1_syn1	expected	The rock was too hard to break with a hammer.	4
9	9	 hammer.	1	False	erwanf/gpt2-mini	0.13046017888700584	5.677282989025116	9	1	hard_meaning1_syn1	expected	The rock was too hard to break with a hammer.	4
10	0	The	2	False	erwanf/gpt2-mini	1.0	0.0	0	1	hard_meaning1_syn1	unexpected	The rock was too solid to break with a hammer.	4
11	1	 rock	2	False	erwanf/gpt2-mini	0.0001840272307163	12.407793045043944	1	1	hard_meaning1_syn1	unexpected	The rock was too solid to break with a hammer.	4
12	2	 was	2	False	erwanf/gpt2-mini	0.0250010024756193	5.321869850158691	2	1	hard_meaning1_syn1	unexpected	The rock was too solid to break with a hammer.	4
13	3	 too	2	False	erwanf/gpt2-mini	0.0024567148648202	8.66905403137207	3	1	hard_meaning1_syn1	unexpected	The rock was too solid to break with a hammer.	4
14	4	 solid	2	False	erwanf/gpt2-mini	0.0029934062622487	8.38399600982666	4	1	hard_meaning1_syn1	unexpected	The rock was too solid to break with a hammer.	4
