Unnamed: 0	wordpos_mod	word_mod	sentid	punctuation	model	prob	surp	wordpos	pairid	condition	comparison	sentence	ROI	freqs	log_freq	expected_surp_gam	adjusted_surp	adjusted_prob
0	0	The	1	False	erwanf/gpt2-mini	1.0	0.0	0	1	hard_meaning1_syn1	expected	The rock was too hard to break with a hammer.	4	6500900	15.687451340644257	1.1109214179527322	-1.1109214179527322	3.037155595232944
1	1	 rock	1	False	erwanf/gpt2-mini	0.0001840272307163	12.407793045043944	1	1	hard_meaning1_syn1	expected	The rock was too hard to break with a hammer.	4	15608	9.655602949958412	7.899202851647729	4.5085901933962145	0.011013976812752808
2	2	 was	1	False	erwanf/gpt2-mini	0.0250010024756193	5.321869850158691	2	1	hard_meaning1_syn1	expected	The rock was too hard to break with a hammer.	4	680189	13.430127449888799	3.429510462102324	1.8923593880563674	0.15071579197107202
3	3	 too	1	False	erwanf/gpt2-mini	0.0024567148648202	8.66905403137207	3	1	hard_meaning1_syn1	expected	The rock was too hard to break with a hammer.	4	82076	11.315413110029038	6.736145948403657	1.9329080829684129	0.14472670864047785
4	4	 hard	1	False	erwanf/gpt2-mini	0.0243917014449834	5.357465744018555	4	1	hard_meaning1_syn1	expected	The rock was too hard to break with a hammer.	4	37982	10.544893970188363	7.475168464108625	-2.1177027200900707	8.312020499853896
5	5	 to	1	False	erwanf/gpt2-mini	0.423286110162735	1.2402948141098022	5	1	hard_meaning1_syn1	expected	The rock was too hard to break with a hammer.	4	3042375	14.928149347056001	2.5335870543221235	-1.2932922402123213	3.644766270963992
6	6	 break	1	False	erwanf/gpt2-mini	0.0097861438989639	6.67504358291626	6	1	hard_meaning1_syn1	expected	The rock was too hard to break with a hammer.	4	13589	9.51708950714519	8.05444313781124	-1.379399554894981	3.9725156336704286
7	7	 with	1	False	erwanf/gpt2-mini	0.0052905767224729	7.56235933303833	7	1	hard_meaning1_syn1	expected	The rock was too hard to break with a hammer.	4	881608	13.689503926040112	3.7822854782976547	3.7800738547406754	0.022821005923378174
8	8	 a	1	False	erwanf/gpt2-mini	0.0192209128290414	5.701179027557373	8	1	hard_meaning1_syn1	expected	The rock was too hard to break with a hammer.	4	2959949	14.900682934265681	2.5867797690725127	3.1143992584848603	0.04440517516860377
9	9	 hammer.	1	False	erwanf/gpt2-mini	0.1304601788870058	5.677282989025116	9	1	hard_meaning1_syn1	expected	The rock was too hard to break with a hammer.	4	1700	7.438971592395862	10.481815737828477	-4.804532748803361	122.06244387158179
