Unnamed: 0	wordpos_mod	word_mod	sentid	punctuation	model	prob	surp	wordpos	pairid	condition	comparison	sentence	ROI	freqs	log_freq	expected_surp_gam	adjusted_surp	adjusted_prob
0	0	The	1	False	distilbert/distilgpt2	1.0	0.0	0	1	hard_meaning1_syn1	expected	The rock was too hard to break with a hammer.	4	6500900	15.687451340644257	1.318773622180987	-1.318773622180987	3.7388333422238063
1	1	 rock	1	False	distilbert/distilgpt2	1.2828171520595788e-06	19.57225227355957	1	1	hard_meaning1_syn1	expected	The rock was too hard to break with a hammer.	4	15608	9.655602949958412	8.585545948123846	10.986706325435724	1.6925210103687904e-05
2	2	 was	1	False	distilbert/distilgpt2	0.0031788705382496	8.297269821166992	2	1	hard_meaning1_syn1	expected	The rock was too hard to break with a hammer.	4	680189	13.430127449888799	3.9029729120101004	4.394296909156892	0.01234755872969733
3	3	 too	1	False	distilbert/distilgpt2	0.002154474845156	8.858448028564453	3	1	hard_meaning1_syn1	expected	The rock was too hard to break with a hammer.	4	82076	11.315413110029038	7.26097361589703	1.597474412667423	0.20240706973311237
4	4	 hard	1	False	distilbert/distilgpt2	0.0164795164018869	5.923182010650635	4	1	hard_meaning1_syn1	expected	The rock was too hard to break with a hammer.	4	37982	10.544893970188363	8.485931929769782	-2.562749919119147	12.971438722447248
5	5	 to	1	False	distilbert/distilgpt2	0.439361423254013	1.1865198612213137	5	1	hard_meaning1_syn1	expected	The rock was too hard to break with a hammer.	4	3042375	14.928149347056001	2.4708191875587717	-1.284299326337458	3.612136141672808
6	6	 break	1	False	distilbert/distilgpt2	0.0229875091463327	5.443006038665772	6	1	hard_meaning1_syn1	expected	The rock was too hard to break with a hammer.	4	13589	9.51708950714519	8.66212117702166	-3.219115138355888	25.00598355313611
7	7	 with	1	False	distilbert/distilgpt2	0.0134952431544661	6.211405277252197	7	1	hard_meaning1_syn1	expected	The rock was too hard to break with a hammer.	4	881608	13.689503926040112	4.219006106054435	1.9923991711977624	0.1363678628144655
8	8	 a	1	False	distilbert/distilgpt2	0.0160345658659935	5.962670803070068	8	1	hard_meaning1_syn1	expected	The rock was too hard to break with a hammer.	4	2959949	14.900682934265681	2.5213453933834353	3.441325409686633	0.03202221463507958
9	9	 hammer.	1	False	distilbert/distilgpt2	0.1120388885028659	4.993915438652039	9	1	hard_meaning1_syn1	expected	The rock was too hard to break with a hammer.	4	1700	7.438971592395862	12.449235042796346	-7.455319604144307	1729.0365142046585
10	0	The	2	False	distilbert/distilgpt2	1.0	0.0	0	1	hard_meaning1_syn1	unexpected	The rock was too solid to break with a hammer.	4	6500900	15.687451340644257	1.318773622180987	-1.318773622180987	3.7388333422238063
11	1	 rock	2	False	distilbert/distilgpt2	1.2828171520595788e-06	19.57225227355957	1	1	hard_meaning1_syn1	unexpected	The rock was too solid to break with a hammer.	4	15608	9.655602949958412	8.585545948123846	10.986706325435724	1.6925210103687904e-05
12	2	 was	2	False	distilbert/distilgpt2	0.0031788705382496	8.297269821166992	2	1	hard_meaning1_syn1	unexpected	The rock was too solid to break with a hammer.	4	680189	13.430127449888799	3.9029729120101004	4.394296909156892	0.01234755872969733
13	3	 too	2	False	distilbert/distilgpt2	0.002154474845156	8.858448028564453	3	1	hard_meaning1_syn1	unexpected	The rock was too solid to break with a hammer.	4	82076	11.315413110029038	7.26097361589703	1.597474412667423	0.20240706973311237
14	4	 solid	2	False	distilbert/distilgpt2	0.0013203372946009	9.5648775100708	4	1	hard_meaning1_syn1	unexpected	The rock was too solid to break with a hammer.	4	7280	8.893023494394711	9.754809324940602	-0.18993181486980149	1.2091671476269577
15	5	 to	2	False	distilbert/distilgpt2	0.3777568936347961	1.4044699668884275	5	1	hard_meaning1_syn1	unexpected	The rock was too solid to break with a hammer.	4	3042375	14.928149347056001	2.4708191875587717	-1.0663492206703442	2.9047554975045813
